gameId,teamId,teamCity,teamName,gameType,availableFlag,efgPct,ftaRate,gameDate,gameDateTimeEst,home,matchup,min,oppEfgPct,oppFtaRate,oppOrebPct,oppTovPct,opponentTeamCity,opponentTeamId,opponentTeamName,orebPct,teamAbbreviation,teamName_right,tmTovPct,win,wl
22500719,1610612747,Los Angeles,Lakers,Regular Season,1,0.582,0.459,2026-02-03T00:00:00,2026-02-03 19:30:00,0,LAL @ BKN,48.0,0.532,0.149,0.358,0.194,Brooklyn,1610612751,Nets,0.292,LAL,,0.117,1,W
22500725,1610612757,Portland,Trail Blazers,Regular Season,1,0.589,0.189,2026-02-03T00:00:00,2026-02-03 23:00:00,1,POR vs. PHX,48.0,0.619,0.155,0.392,0.113,Phoenix,1610612756,Suns,0.472,POR,,0.173,0,L
22500723,1610612753,Orlando,Magic,Regular Season,1,0.455,0.124,2026-02-03T00:00:00,2026-02-03 20:00:00,0,ORL @ OKC,48.0,0.581,0.28,0.396,0.113,Oklahoma City,1610612760,Thunder,0.273,ORL,,0.163,0,L
22500725,1610612756,Phoenix,Suns,Regular Season,1,0.619,0.155,2026-02-03T00:00:00,2026-02-03 23:00:00,0,PHX @ POR,48.0,0.589,0.189,0.472,0.173,Portland,1610612757,Trail Blazers,0.392,PHX,,0.113,1,W
22500724,1610612744,Golden State,Warriors,Regular Season,1,0.596,0.026,2026-02-03T00:00:00,2026-02-03 22:00:00,1,GSW vs. PHI,48.0,0.522,0.226,0.509,0.143,Philadelphia,1610612755,76ers,0.262,GSW,,0.22,0,L
22500712,1610612766,Charlotte,Hornets,Regular Season,1,0.471,0.318,2026-02-02T00:00:00,2026-02-02 15:00:00,1,CHA vs. NOP,48.0,0.458,0.298,0.164,0.083,New Orleans,1610612740,Pelicans,0.389,CHA,,0.175,1,W
22500713,1610612745,Houston,Rockets,Regular Season,1,0.5,0.425,2026-02-02T00:00:00,2026-02-02 19:00:00,0,HOU @ IND,48.0,0.563,0.241,0.188,0.101,Indiana,1610612754,Pacers,0.449,HOU,,0.163,1,W
22500715,1610612755,Philadelphia,76ers,Regular Season,1,0.569,0.234,2026-02-02T00:00:00,2026-02-02 22:00:00,0,PHI @ LAC,48.0,0.647,0.256,0.222,0.151,LA,1610612746,Clippers,0.385,PHI,,0.063,1,W
22500714,1610612763,Memphis,Grizzlies,Regular Season,1,0.608,0.398,2026-02-02T00:00:00,2026-02-02 19:30:00,1,MEM vs. MIN,48.0,0.578,0.344,0.308,0.091,Minnesota,1610612750,Timberwolves,0.354,MEM,,0.101,1,W
22500714,1610612750,Minnesota,Timberwolves,Regular Season,1,0.578,0.344,2026-02-02T00:00:00,2026-02-02 19:30:00,0,MIN @ MEM,48.0,0.608,0.398,0.354,0.101,Memphis,1610612763,Grizzlies,0.308,MIN,,0.091,0,L
22500715,1610612746,LA,Clippers,Regular Season,1,0.647,0.256,2026-02-02T00:00:00,2026-02-02 22:00:00,1,LAC vs. PHI,48.0,0.569,0.234,0.385,0.063,Philadelphia,1610612755,76ers,0.222,LAC,,0.151,0,L
22500712,1610612740,New Orleans,Pelicans,Regular Season,1,0.458,0.298,2026-02-02T00:00:00,2026-02-02 15:00:00,0,NOP @ CHA,48.0,0.471,0.318,0.389,0.175,Charlotte,1610612766,Hornets,0.164,NOP,,0.083,0,L
22500713,1610612754,Indiana,Pacers,Regular Season,1,0.563,0.241,2026-02-02T00:00:00,2026-02-02 19:00:00,1,IND vs. HOU,48.0,0.5,0.425,0.449,0.163,Houston,1610612745,Rockets,0.188,IND,,0.101,0,L
22500704,1610612751,Brooklyn,Nets,Regular Season,1,0.377,0.37,2026-02-01T00:00:00,2026-02-01 18:00:00,0,BKN @ DET,48.0,0.635,0.341,0.146,0.08,Detroit,1610612765,Pistons,0.235,BKN,,0.248,0,L
22500709,1610612746,LA,Clippers,Regular Season,1,0.572,0.41,2026-02-01T00:00:00,2026-02-01 20:00:00,0,LAC @ PHX,48.0,0.435,0.194,0.2,0.053,Phoenix,1610612756,Suns,0.49,LAC,,0.189,1,W
22500703,1610612759,San Antonio,Spurs,Regular Season,1,0.549,0.39,2026-02-01T00:00:00,2026-02-01 21:00:00,1,SAS vs. ORL,48.0,0.495,0.165,0.212,0.147,Orlando,1610612753,Magic,0.304,SAS,,0.168,1,W
22500704,1610612765,Detroit,Pistons,Regular Season,1,0.635,0.341,2026-02-01T00:00:00,2026-02-01 18:00:00,1,DET vs. BKN,48.0,0.377,0.37,0.235,0.248,Brooklyn,1610612751,Nets,0.146,DET,,0.08,1,W
22500710,1610612757,Portland,Trail Blazers,Regular Season,1,0.52,0.122,2026-02-01T00:00:00,2026-02-01 21:00:00,1,POR vs. CLE,48.0,0.637,0.209,0.279,0.137,Cleveland,1610612739,Cavaliers,0.456,POR,,0.221,0,L
22500711,1610612743,Denver,Nuggets,Regular Season,1,0.595,0.304,2026-02-01T00:00:00,2026-02-01 21:30:00,1,DEN vs. OKC,48.0,0.582,0.318,0.283,0.131,Oklahoma City,1610612760,Thunder,0.31,DEN,,0.182,0,L
22500706,1610612762,Utah,Jazz,Regular Season,1,0.4,0.378,2026-02-01T00:00:00,2026-02-01 18:00:00,0,UTA @ TOR,48.0,0.488,0.357,0.283,0.183,Toronto,1610612761,Raptors,0.443,UTA,,0.233,0,L
22500705,1610612748,Miami,Heat,Regular Season,1,0.57,0.159,2026-02-01T00:00:00,2026-02-01 18:00:00,1,MIA vs. CHI,48.0,0.356,0.391,0.283,0.178,Chicago,1610612741,Bulls,0.321,MIA,,0.085,1,W
22500708,1610612752,New York,Knicks,Regular Season,1,0.571,0.121,2026-02-01T00:00:00,2026-02-01 19:00:00,1,NYK vs. LAL,48.0,0.524,0.226,0.286,0.118,Los Angeles,1610612747,Lakers,0.32,NYK,,0.108,1,W
22500702,1610612738,Boston,Celtics,Regular Season,1,0.527,0.141,2026-02-01T00:00:00,2026-02-01 15:30:00,1,BOS vs. MIL,48.0,0.415,0.183,0.291,0.126,Milwaukee,1610612749,Bucks,0.407,BOS,,0.116,1,W
